code4,income_security,job_security_score,wage_nrm,wage_abs
3129,0.520855067240758,1,0.520855067240758,2746
3131,0.217929071840277,0.824561403508772,0.264296959465868,1393.4
3132,0.22027907917781,0.833333333333333,0.264334895013372,1393.6
3211,0.0908746040477229,0.333333333333333,0.272623812143169,1437.3
3212,0.194109977639793,0.770491803278688,0.251929970979306,1328.2
3221,0.143993854441304,0.5,0.287987708882608,1518.3
3222,0.248356442404355,0.8,0.310445553005444,1636.7
3223,0.173317355242015,0.589285714285714,0.294114299804632,1550.6
3231,0.380492186632055,0.928571428571429,0.409760816372982,2160.3
3232,0.317156351359041,0.8,0.396445439198801,2090.1
3233,0.176362360349766,1,0.176362360349766,929.8
3234,0,1,0,0
3241,0.238007625045048,1,0.238007625045048,1254.8
3242,0.103588431825757,0.428571428571429,0.241706340926765,1274.3
3243,0.224671821037596,0.923076923076923,0.243394472790729,1283.2
3311,0.116588582664719,0.333333333333333,0.349765747994158,1844
3312,0.141569809432236,0.586538461538462,0.241364920999222,1272.5
3321,0.0342709736158267,0.2,0.171354868079133,903.4
3322,0.0542798410500559,0.21875,0.248136416228827,1308.2
3331,0.154307581419169,0.75,0.205743441892225,1084.7
3332,0.0826828019195387,0.24,0.344511674664745,1816.3
3333,0,0,0.177405587906147,935.3
3334,0.047878876011878,0.222222222222222,0.215454942053451,1135.9
3341,0.164095038892558,0.563636363636364,0.291136359325506,1534.9
3411,0.223502606150801,0.685393258426966,0.326093966351169,1719.2
3421,0.24206040603681,0.833333333333333,0.290472487244172,1531.4
3422,0.45251417841088,1,0.45251417841088,2385.7
3423,0.180459399480283,0.666666666666667,0.270689099220424,1427.1
3424,0.228300118099349,0.842105263157895,0.271106390242977,1429.3
3511,0.0978168092410994,0.692307692307692,0.141290946681588,744.9
3512,0.107819938923768,0.625,0.17251190227803,909.5
3513,0.128868603263464,0.612244897959184,0.210485385330324,1109.7
3514,0.104528053895255,0.705882352941177,0.148081409684945,780.7
3611,0.0319124171668698,0.272727272727273,0.117012196278523,616.9
3612,0,0,0,0
3613,0.125618507489109,0.733333333333333,0.171297964757876,903.1
3621,0.0345592837768631,0.2,0.172796418884316,911
3622,0.0536471867630229,0.333333333333333,0.160941560289069,848.5
3623,0.133797411531142,0.733333333333333,0.182451015724284,961.9
3624,0.0632006221429791,0.333333333333333,0.189601866428937,999.6
3911,0.0734172640683479,0.552631578947368,0.132850287361772,700.4
3921,0.118965876975019,0.666666666666667,0.178448815462529,940.8
3922,0.179700688530187,1,0.179700688530187,947.4
3923,0.223421407029457,1,0.223421407029457,1177.9
3931,0,0,0,0
3932,0.0230837806566643,0.166666666666667,0.138502683939986,730.2
3933,0.0510169888026909,0.333333333333333,0.153050966408073,806.9
3941,0.126907051586022,0.666666666666667,0.190360577379033,1003.6
3942,0,1,0,0
3991,0.154672711063902,0.5,0.309345422127805,1630.9
3992,0.526437012087891,0.857142857142857,0.61417651410254,3238
3993,0.186092828284744,1,0.186092828284744,981.1
3994,0.151855996661672,0.666666666666667,0.227783994992508,1200.9
3995,0.0812081523491588,0.375,0.21655507293109,1141.7
3996,0.199495457218186,0.8,0.249369321522733,1314.7
3999,0.201372099572058,0.692307692307692,0.290870810492972,1533.5
4111,0.332991247869869,0.894736842105263,0.372166688795736,1962.1
4112,0.109140570171279,0.6,0.181900950285465,959
4113,0.151436808861744,0.9,0.168263120957493,887.1
4114,0.170829063746276,0.906976744186046,0.188349993361279,993
4115,0.276284592477381,1,0.276284592477381,1456.6
4116,0,0,0.106409210750934,561
4117,0.177201859965844,0.851851851851852,0.208019574742512,1096.7
4211,0.0728358447569009,0.578571428571429,0.125889114394644,663.7
4221,0.106297443653985,0.795698924731183,0.133590030538116,704.3
4231,0.0786532880635799,0.553333333333333,0.142144496500446,749.4
4232,0.0815098347906906,0.52,0.15674968228979,826.4
4233,0.105148631164177,0.745901639344262,0.140968494527797,743.2
4234,0.110800250374613,0.5,0.221600500749227,1168.3
4311,0.0135031581343298,0.1125,0.120028072305154,632.8
4312,0.0132181673337,0.125,0.1057453386696,557.5
4313,0.170588570019537,0.8,0.213235712524421,1124.2
4314,0.101098234100264,0.5,0.202196468200527,1066
4315,0.0139035554294189,0.149532710280374,0.0929800269342387,490.2
4319,0.0646895923825421,0.5,0.129379184765084,682.1
4411,0,1,0,0
4412,0.310855084484189,0.954545454545455,0.325657707554864,1716.9
4413,0.384381935092278,1,0.384381935092278,2026.5
4421,0.282400514026669,0.9375,0.30122721496178,1588.1
4422,0.131960488019743,0.688888888888889,0.191555547125434,1009.9
4511,0.0207697122588722,0.166666666666667,0.124618273553233,657
4512,0,0,0.169458090703894,893.4
4513,0.151086446983717,0.857142857142857,0.176267521481004,929.3
4514,0.0298125983953263,0.25,0.119250393581305,628.7
4515,0,0,0,0
4516,0.199557840118527,0.888888888888889,0.224502570133343,1183.6
4517,0.2435651827545,1,0.2435651827545,1284.1
4518,0.0166252536939739,0.166666666666667,0.0997515221638436,525.9
4521,0.00730680795550582,0.111111111111111,0.0657612715995523,346.7
4522,0.0738225754443201,0.666666666666667,0.11073386316648,583.8
4523,0.0135651791756749,0.150943396226415,0.089869312038846,473.8
4524,0.01513865442613,0.125,0.12110923540904,638.5
5111,0.263212675082756,0.886075949367089,0.297054304736253,1566.1
5121,0.181760713138542,0.770491803278688,0.235902202158533,1243.7
5122,0.209225383216772,0.857142857142857,0.244096280419567,1286.9
5211,0.238161656449141,0.948275862068966,0.251152292255458,1324.1
5212,0.132105802241991,0.8125,0.162591756605527,857.2
5311,0.127158486763247,0.767741935483871,0.16562660040591,873.2
5321,0.117461586610503,0.692307692307692,0.16966673621517,894.5
5411,0.176897251569583,0.85,0.208114413611274,1097.2
5412,0.168834116353557,0.844827586206897,0.19984446425523,1053.6
5421,0.08707432654199,0.645569620253165,0.134879839153279,711.1
5511,0.161558339966604,0.827586206896552,0.195216327459646,1029.2
5512,0.0505506224290011,0.396825396825397,0.127387568521083,671.6
5513,0.217911901013511,0.866666666666667,0.251436808861744,1325.6
5521,0.193167807894387,1,0.193167807894387,1018.4
5522,0.250753969006658,1,0.250753969006658,1322
5523,0.213690939094478,0.977272727272727,0.218660495817606,1152.8
5611,0.0750112225994702,0.666666666666667,0.112516833899205,593.2
5612,0.150238818321745,0.740740740740741,0.202822404734356,1069.3
5613,0.150960134116751,0.692307692307692,0.218053527057529,1149.6
5614,0.162729272965232,0.75,0.216972363953643,1143.9
5615,0,0,0.154397678344493,814
5616,0.221790178486751,1,0.221790178486751,1169.3
5619,0.0825382674835454,0.5,0.165076534967091,870.3
