us_nsw_wknd_7day_avg,us_vic_wknd_7day_avg,ds_nsw_wknd_7day_avg,ds_vic_wknd_7day_avg,cases_nsw_wknd_7day_avg,cases_vic_7day_avg
17406108.1728162,21012723.0704862,205077446.799426,240970038.385352,13.7142857142857,323
17406108.1728162,21012723.0704862,205077446.799426,240970038.385352,14.7142857142857,334.285714285714
17406108.1728162,21012723.0704862,205077446.799426,240970038.385352,14.4285714285714,321.142857142857
17406108.1728162,21012723.0704862,205077446.799426,240970038.385352,15.1428571428571,338.571428571429
17886292.1646028,21258119.2438296,214430047.573789,244064414.263829,15.4285714285714,348.714285714286
19440781.4671609,21614207.752471,245233780.629292,249539698.683544,13.7142857142857,381.571428571429
19440781.4671609,21614207.752471,245233780.629292,249539698.683544,13.8571428571429,384
19440781.4671609,21614207.752471,245233780.629292,249539698.683544,15,360.857142857143
19440781.4671609,21614207.752471,245233780.629292,249539698.683544,14.8571428571429,396.857142857143
19440781.4671609,21614207.752471,245233780.629292,249539698.683544,17,434.285714285714
19440781.4671609,21614207.752471,245233780.629292,249539698.683544,16.5714285714286,439.285714285714
19378752.9599321,21800212.498794,240055496.570968,249765487.084596,15.8571428571429,466.428571428571
17127545.0854524,20201958.1589193,200687529.59,226641257.810187,16.2857142857143,446.428571428571
17127545.0854524,20201958.1589193,200687529.59,226641257.810187,16,453
17127545.0854524,20201958.1589193,200687529.59,226641257.810187,14.1428571428571,512
17127545.0854524,20201958.1589193,200687529.59,226641257.810187,13.8571428571429,486
17127545.0854524,20201958.1589193,200687529.59,226641257.810187,12.2857142857143,467.714285714286
17127545.0854524,20201958.1589193,200687529.59,226641257.810187,11.2857142857143,480.142857142857
18010346.7783141,21716635.4139704,217490168.82139,247229154.278215,11.2857142857143,448.142857142857
19997569.1626762,24257630.0559113,242351233.313073,276688546.536465,11.5714285714286,442.142857142857
19997569.1626762,24257630.0559113,242351233.313073,276688546.536465,12.8571428571429,430.285714285714
19997569.1626762,24257630.0559113,242351233.313073,276688546.536465,13.7142857142857,389.285714285714
19997569.1626762,24257630.0559113,242351233.313073,276688546.536465,13.2857142857143,362.428571428571
19997569.1626762,24257630.0559113,242351233.313073,276688546.536465,13.7142857142857,353.714285714286
19997569.1626762,24257630.0559113,242351233.313073,276688546.536465,13.5714285714286,331.714285714286
