OCCP4dig,log_income_security,wfh_classification
4231,-2.53830742651512,1
4232,-2.50103603171788,0
4233,-2.25379492882461,0
4234,-2.1982250776698,1
4311,-4.26869794936688,0
4312,-4.3428059215206,0
4313,-1.76609172247948,0
4314,-2.29263476214088,0
4315,-4.26869794936688,0
4319,-2.7333680090865,0
4412,-1.1679623668029,0
4413,-0.95711272639441,0
4421,-1.26584820804402,0
4422,-2.02495335639577,0
4511,-3.86323284125871,1
4513,-1.89047544216721,0
4514,-3.50655789731998,0
4516,-1.6094379124341,1
4517,-1.41058705368894,1
4518,-4.07454193492592,0
4521,-4.96184512992682,0
4522,-2.60369018577797,0
4523,-4.26869794936688,0
4524,-4.19970507787993,0
5111,-1.33560124680437,1
5121,-1.70374859190534,1
5122,-1.56542102701733,1
5211,-1.43548460531066,1
5212,-2.02495335639577,1
5311,-2.06356819252355,1
5321,-2.14558134418438,1
5411,-1.73160554640831,1
5412,-1.77785656405906,1
5421,-2.44184716032755,0
5511,-1.82015894374975,1
5512,-2.97592964625781,1
5513,-1.52326021619305,1
5521,-1.64506509007725,0
5522,-1.38230233985035,1
5523,-1.54177926396029,1
5611,-2.59026716544583,1
5612,-1.89711998488588,0
5613,-1.89047544216721,1
5614,-1.81400507817537,0
5616,-1.50507789710986,1
5911,-1.58963528513792,0
5991,-1.9173226922034,1
5992,-1.69826912614072,1
5993,-1.58963528513792,0
5994,-1.52326021619305,1
5995,-1.31676829847128,0
5996,-1.13631415585212,1
5997,-2.5133061243097,1
5999,-1.85150947363383,1
6111,-1.50507789710986,1
6112,-1.22077992264232,1
6113,-1.44392347395653,1
6121,-1.75446368448436,1
6211,-3.32423634052603,0
6212,-2.22562405185792,0
6213,-1.50959257746438,0
6214,-2.68824757380603,0
6215,-1.94491064872223,0
6216,-3.77226106305299,0
6217,-4.26869794936688,0
6219,-2.52572864430826,0
6311,-3.64965874096066,0
6392,-1.36649173382371,1
6393,-3.61191841297781,1
6394,-2.61729583783375,1
6395,-1.77195684193188,1
6399,-2.43041846450393,1
7111,-1.80180980508156,0
7112,-1.23443201181064,0
7113,-1.39836694235416,0
7115,-2.67364877438488,0
7119,-1.57987911019256,0
7121,-1.03845836584836,0
7122,-1.07880966137193,0
7123,-1.63989711991881,0
7129,-1.20397280432594,0
7211,-2.32278780031156,0
7212,-1.91054300521802,0
7213,-2.00991547903123,1
7219,-1.93794197940614,0
7311,-4.71053070164592,0
7312,-2.12863178587061,0
7313,-0.776528789498996,0
7321,-3.01593498087151,0
7331,-1.62964061975162,0
7411,-2.1982250776698,0
8111,-2.56394985712845,0
8112,-2.99573227355399,0
8114,-3.57555076880693,0
8115,-2.37515578582888,0
8116,-2.40794560865187,0
8211,-2.07944154167984,0
8212,-2.67364877438488,0
8213,-3.68887945411394,0
8214,-2.52572864430826,0
8215,-2.10373423424888,0
8216,-0.946749939358864,0
8217,-1.93794197940614,0
8219,-1.49165487677772,0
8311,-2.04794287462046,0
8312,-1.59948758158093,0
8313,-2.00248050054371,0
8321,-2.45340798272863,0
8322,-2.00248050054371,0
8391,-3.07911388249304,0
8393,-2.00991547903123,0
8394,-2.13707065451647,0
8399,-2.7333680090865,0
8412,-3.35240721749272,0
8414,-2.91877123241786,0
8415,-2.7646205525906,0
8419,-2.93746336543002,0
8512,-3.77226106305299,0
8513,-3.17008566069877,0
8911,-1.76609172247948,0
8912,-2.68824757380603,0
8991,-1.83885107676191,0
8992,-2.14558134418438,0
8993,-2.99573227355399,0
8994,-2.09557092360972,0
8995,-1.6094379124341,0
8996,-1.31676829847128,0
8997,-3.91202300542815,0
8999,-2.99573227355399,0
