code4,income_security,security_score,wage
3996,0.199,0.8,0.249
3999,0.201,0.692,0.291
4111,0.333,0.895,0.372
4112,0.109,0.6,0.182
4113,0.151,0.9,0.168
4114,0.171,0.907,0.188
4115,0.276,1,0.276
4116,0,0,0.106
4117,0.177,0.852,0.208
4211,0.073,0.579,0.126
4221,0.106,0.796,0.134
4231,0.079,0.553,0.142
4232,0.082,0.52,0.157
4233,0.105,0.746,0.141
4234,0.111,0.5,0.222
4311,0.014,0.113,0.12
4312,0.013,0.125,0.106
4313,0.171,0.8,0.213
4314,0.101,0.5,0.202
4315,0.014,0.15,0.093
4319,0.065,0.5,0.129
4411,0,1,0
4412,0.311,0.955,0.326
4413,0.384,1,0.384
4421,0.282,0.938,0.301
4422,0.132,0.689,0.192
4511,0.021,0.167,0.125
4512,0,0,0.169
4513,0.151,0.857,0.176
4514,0.03,0.25,0.119
4515,0,0,0
4516,0.2,0.889,0.225
4517,0.244,1,0.244
4518,0.017,0.167,0.1
4521,0.007,0.111,0.066
4522,0.074,0.667,0.111
4523,0.014,0.151,0.09
4524,0.015,0.125,0.121
5111,0.263,0.886,0.297
5121,0.182,0.77,0.236
5122,0.209,0.857,0.244
5211,0.238,0.948,0.251
5212,0.132,0.813,0.163
5311,0.127,0.768,0.166
5321,0.117,0.692,0.17
5411,0.177,0.85,0.208
5412,0.169,0.845,0.2
5421,0.087,0.646,0.135
5511,0.162,0.828,0.195
5512,0.051,0.397,0.127
5513,0.218,0.867,0.251
5521,0.193,1,0.193
5522,0.251,1,0.251
5523,0.214,0.977,0.219
5611,0.075,0.667,0.113
5612,0.15,0.741,0.203
5613,0.151,0.692,0.218
5614,0.163,0.75,0.217
5615,0,0,0.154
5616,0.222,1,0.222
5619,0.083,0.5,0.165
5911,0.204,0.856,0.239
5912,0.208,0.841,0.247
5991,0.147,0.789,0.187
5992,0.183,0.92,0.199
5993,0.204,0.875,0.233
5994,0.218,0.909,0.24
5995,0.268,0.982,0.273
5996,0.321,1,0.321
5997,0.081,0.625,0.13
5999,0.157,0.696,0.225
6111,0.222,0.833,0.266
6112,0.295,1,0.295
6113,0.236,0.862,0.273
6121,0.173,0.741,0.233
6211,0.036,0.357,0.101
6212,0.108,0.692,0.156
6213,0.221,0.889,0.248
6214,0.068,0.639,0.106
6215,0.143,0.733,0.195
6216,0.023,0.167,0.135
6217,0.014,0.1,0.14
6219,0.08,0.412,0.195
6311,0.026,0.312,0.083
6391,0.013,0.125,0.101
6392,0.255,0.8,0.319
6393,0.027,0.2,0.135
6394,0.073,0.467,0.156
6395,0.17,1,0.17
6399,0.088,0.5,0.175
7111,0.165,0.75,0.22
7112,0.291,1,0.291
7113,0.247,1,0.247
7114,NaN,NaN,NaN
7115,0.069,0.25,0.275
7116,0,0,0.168
7117,NaN,NaN,NaN
7119,0.206,0.786,0.262
7121,0.354,0.75,0.472
7122,0.34,0.756,0.45
7123,0.194,0.789,0.246
7129,0.3,0.81,0.371
7211,0.098,0.35,0.279
7212,0.148,0.5,0.296
7213,0.134,0.609,0.221
7219,0.144,0.545,0.265
7311,0.009,0.087,0.099
7312,0.119,0.517,0.231
7313,0.46,1,0.46
7321,0.049,0.333,0.146
7331,0.196,0.706,0.278
7411,0.111,0.608,0.183
8111,0.077,0.5,0.154
8112,0.05,0.424,0.118
8113,0,0,0.103
8114,0.028,0.273,0.102
8115,0.093,0.636,0.146
8116,0.09,0.417,0.215
8211,0.125,0.444,0.281
8212,0.069,0.208,0.331
8213,0.025,0.143,0.175
8214,0.08,0.278,0.288
8215,0.122,0.571,0.214
8216,0.388,1,0.388
8217,0.144,0.389,0.37
8219,0.225,0.667,0.337
8311,0.129,0.636,0.203
8312,0.202,0.833,0.242
8313,0.135,0.714,0.189
8321,0.086,0.622,0.138
8322,0.135,0.789,0.17
8391,0.046,0.25,0.184
8392,0,0,0.22
8393,0.134,0.5,0.268
8394,0.118,0.625,0.188
8399,0.065,0.444,0.146
8411,NaN,NaN,NaN
8412,0.035,0.227,0.152
8413,0,0,0
8414,0.054,0.313,0.174
8415,0.063,0.375,0.168
8416,0,0,0.192
8419,0.053,0.3,0.175
8511,0,0,0.068
8512,0.023,0.286,0.082
8513,0.042,0.438,0.095
8911,0.171,0.75,0.229
8912,0.068,0.654,0.104
8991,0.159,0.706,0.225
8992,0.117,0.429,0.273
8993,0.05,0.292,0.172
8994,0.123,0.583,0.211
8995,0.2,1,0.2
8996,0.268,1,0.268
8997,0.02,0.143,0.141
8999,0.05,0.28,0.18
